Activity Sol,Location,Feature,Target Name,Target Type,Site,Drive,x,y,z,u,v,w,Image ID,i,j,Target Notes
1218,"Columbia Hills, Home Plate Area",Silica_Valley,Betty_Wagoner,Rock,129,283,9.241,0.385,0.192,0.249895,-0.07197,-0.965595,2F234227408FFLATF3P1214L0M1,391,500,
1219,"Columbia Hills, Home Plate Area",Silica_Valley,Betty_Wagoner's_Daughter,Rock,129,283,9.184,0.398,0.204,0.093997,0.163995,-0.981973,2F234227408FFLATF3P1214L0M1,399,514,
1225,"Columbia Hills, Home Plate Area",Silica_Valley,Nancy_Warren,Rock,130,0,0.457,1.077,0.188,-0.040009,-0.515113,-0.856188,2F234941045FFLAU00P1214L0M1,515,508,
1230,"Columbia Hills, Home Plate Area",Silica_Valley,Calibration_Soil,Soil,130,0,0.1,0.806,0.247,0.045993,0.012998,-0.998857,2F234941045FFLAU00P1214L0M1,643,666,
1232,"Columbia Hills, Home Plate Area",Silica_Valley,Darlene_Mickelsen,Rock,130,0,0.223,1.117,0.178,-0.032993,-0.415911,-0.908806,2F234941045FFLAU00P1214L0M1,607,520,
1235,"Columbia Hills, Home Plate Area",Silica_Valley,Marguerite_Davis,Soil,130,82,0.86,1.05,0.17,,,,2F236005991FFLAU82P1214L0M1,515,522,Missed placement on Eileen_Dean.
1239,"Columbia Hills, Home Plate Area",Silica_Valley,Eileen_Dean,Scuff,130,129,1.249,0.807,0.226,0.119058,-0.121059,-0.98548,2F236185148FFLAUATP1214L0M1,423,505,
1246,"Columbia Hills, Home Plate Area",Silica_Valley,Eileen_Dean2,Scuff,130,129,1.268,0.787,0.244,0.120011,-0.11501,-0.986088,2F236185148FFLAUATP1214L0M1,414,510,
1251,"Columbia Hills, Home Plate Area",Silica_Valley,Innocent_Bystander,Rock,130,194,-0.137,1.078,0.133,-0.028999,-0.339993,-0.939981,2F237337944FFLAUCMP1214L0M1,495,543,
1277,"Columbia Hills, Home Plate Area",Silica_Valley,Stealing_Second,Soil,130,194,-0.113,0.871,0.21,-0.003999,-0.120957,-0.99265,2F237337944FFLAUCMP1214L0M1,416,610,
1277,"Columbia Hills, Home Plate Area",Silica_Valley,Stealing_Third,Soil,130,194,-0.371,1.337,0.111,-0.077992,0.045995,-0.995892,2F237337944FFLAUCMP1214L0M1,635,534,
1288,"Columbia Hills, Home Plate Area",Silica_Valley,Norma_Luker,Rock,130,194,-0.181,1.09,0.124,-0.004001,-0.354078,-0.935207,2F237337944FFLAUCMP1214L0M1,513,548,
1291,"Columbia Hills, Home Plate Area",Silica_Valley,Norma_Luker2,Rock,130,194,-0.186,1.094,0.12,0.122817,-0.380055,-0.916774,2F237337944FFLAUCMP1214L0M1,516,547,
1325,"Columbia Hills, Home Plate Area",Home_Plate,Texas_Chili,Rock,131,126,-20.67,-13.13,-0.13,0.281103,-0.11004,-0.953348,2F243822120FFLAVAQP1214L0M1,615,585,
1340,"Columbia Hills, Home Plate Area",Home_Plate,Humboldt_Peak,Rock,131,310,-33.87,-14.17,-1.42,0.748,0.359,-0.558,2F245061232FFLAVFUP1214L0M1,548,525,
1360,"Columbia Hills, Home Plate Area",South_Promontory,Pumpkin_Pie,Scuff,132,0,-0.11,-1.2,0.47,0.120162,-0.150203,-0.981326,2F247012198FFLAW00P1214L0M1,458,505,
1368,"Columbia Hills, Home Plate Area",South_Promontory,Pecan_Pie,Rock,132,184,28.127,-19.832,2.696,-0.009995,0.029985,-0.9995,2F247374075FFLAWCCP1214L0M1,502,507,
1409,"Columbia Hills, Home Plate Area",Home_Plate_Rim,Chanute,Rock,133,5,-0.97,-0.176,0.156,-0.070974,-0.197928,-0.977644,2F253225133FFLAX05P1214L0M1,505,573,
1450,"Columbia Hills, Home Plate Area",Home_Plate_Rim,Freeman,Rock,133,16,-0.48,-0.01,0.08,-0.369855,-0.138946,-0.918641,2F254202010FFLAX16P1214L0M1,460,703,
1479,"Columbia Hills, Home Plate Area",Winter_Haven,Wendell_Pruitt,Rock,134,0,-0.85,-0.13,-0.1,-0.076999,-0.133998,-0.987986,2F256513272FFLAY00P1214L0M1,477,650,
1510,"Columbia Hills, Home Plate Area",Winter_Haven,Arthur_C._Harmon,Soil,134,0,-0.78,-0.16,-0.1,-0.140218,-0.130202,-0.981523,2F256513272FFLAY00P1214L0M1,500,673,
1796,"Columbia Hills, Home Plate Area",Winter_Haven,Stapledon,Soil,135,126,3.866,1.796,0.779,-0.16089,-0.468249,-0.867461,2F285542810FFLAZAQP1214L0M1,499,658,
1863,"Columbia Hills, Home Plate Area",West_Valley,John_Wesley_Powell,Soil,136,614,-16.41,-50.333,7.526,-0.052999,-0.228996,-0.971983,2F291581504FFLB0OAP1214L0M1,707,525,
1922,"Columbia Hills, Home Plate Area",Troy,Sackrider,Soil,137,234,-17.342,2.11,-0.491,0.13702,0.315045,-0.939134,2F296464749FFLB1DQP1214L0M1,352,508,
1927,"Columbia Hills, Home Plate Area",Troy,Olive_Tree1,Soil,137,234,-17.363,2.329,-0.54,-0.066998,-0.436985,-0.89697,2F296464749FFLB1DQP1214L0M1,454,545,
1927,"Columbia Hills, Home Plate Area",Troy,Olive_Tree2,Soil,137,234,-17.38,2.32,-0.524,-0.066998,-0.436985,-0.89697,2F296464749FFLB1DQP1214L0M1,443,555,
1927,"Columbia Hills, Home Plate Area",Troy,Olive_Branch1,Soil,137,234,-17.081,2.057,-0.422,0.175028,-0.358058,-0.917148,2F296464749FFLB1DQP1214L0M1,404,462,
1928,"Columbia Hills, Home Plate Area",Troy,Olive_Branch2,Soil,137,234,-17.086,2.066,-0.414,0.161007,-0.352016,-0.922042,2F296464749FFLB1DQP1214L0M1,406,466,
1934,"Columbia Hills, Home Plate Area",Troy,Olive_Branch3,Soil,137,249,-17.092,2.069,-0.426,0.161007,-0.352016,-0.922042,2F297978326FFLB1E5P1214L0M1,406,464,
1935,"Columbia Hills, Home Plate Area",Troy,Olive_Branch4,Soil,137,249,-17.1,2.077,-0.431,0.161007,-0.352016,-0.922042,2F297978326FFLB1E5P1214L0M1,407,466,
1936,"Columbia Hills, Home Plate Area",Troy,Penina1,Soil,137,249,-17.19,2.038,-0.472,0.39208,-0.071014,-0.917186,2F297978326FFLB1E5P1214L0M1,371,464,
1940,"Columbia Hills, Home Plate Area",Troy,Penina2,Soil,137,249,-17.195,2.031,-0.465,0.295132,-0.308138,-0.904405,2F297978326FFLB1E5P1214L0M1,367,466,
1941,"Columbia Hills, Home Plate Area",Troy,Penina3,Soil,137,249,-17.198,2.022,-0.463,0.284925,-0.30192,-0.909759,2F297978326FFLB1E5P1214L0M1,363,466,
1945,"Columbia Hills, Home Plate Area",Troy,Cyclops,Soil,137,249,-17.33,2.438,-0.575,0.092,-0.17,-0.9811,2F297978326FFLB1E5P1214L0M1,522,545,
1945,"Columbia Hills, Home Plate Area",Troy,Cyclops_Eye1,Soil,137,249,-17.33,2.438,-0.575,0.092013,-0.170023,-0.981135,2F297978326FFLB1E5P1214L0M1,522,545,
1946,"Columbia Hills, Home Plate Area",Troy,Cyclops_Eye2,Soil,137,249,-17.327,2.451,-0.567,0.085999,-0.173997,-0.980984,2F297978326FFLB1E5P1214L0M1,528,549,
1947,"Columbia Hills, Home Plate Area",Troy,Cyclops_Eye3,Soil,137,249,-17.322,2.463,-0.57,0.082976,-0.176949,-0.980716,2F297978326FFLB1E5P1214L0M1,536,549,
1967,"Columbia Hills, Home Plate Area",Troy,Olive_Branch5,Soil,137,249,-17.083,2.105,-0.445,-0.012998,-0.65689,-0.753874,2F297978326FFLB1E5P1214L0M1,420,463,
1968,"Columbia Hills, Home Plate Area",Troy,Cyclops_Eye4,Soil,137,249,-17.322,2.463,-0.57,0.082976,-0.176949,-0.980716,2F297978326FFLB1E5P1214L0M1,536,549,
1973,"Columbia Hills, Home Plate Area",Troy,Cyclops_Eye5,Soil,137,249,-17.324,2.464,-0.559,0.096038,-0.172069,-0.980392,2F297978326FFLB1E5P1214L0M1,534,553,
1975,"Columbia Hills, Home Plate Area",Troy,Olive_Branch6,Soil,137,249,-17.075,2.12,-0.47,-0.029987,-0.695708,-0.717699,2F297978326FFLB1E5P1214L0M1,427,456,
1979,"Columbia Hills, Home Plate Area",Troy,Olive_Pit,Soil,137,249,-17.135,2.112,-0.457,0.221086,-0.411161,-0.884346,2F297978326FFLB1E5P1214L0M1,412,470,
1980,"Columbia Hills, Home Plate Area",Troy,Polyphemus_Eye,Soil,137,249,-17.111,2.703,-0.59,0.09396,0.001,-0.995575,2F297978326FFLB1E5P1214L0M1,660,521,
1990,"Columbia Hills, Home Plate Area",Troy,Cyclops_Eye6,Soil,137,249,-17.322,2.463,-0.57,0.082976,-0.176949,-0.980716,2F297978326FFLB1E5P1214L0M1,536,549,
1995,"Columbia Hills, Home Plate Area",Troy,Polyphemus_Eye3,Soil,137,249,-17.111,2.703,-0.59,0.09396,0.001,-0.995575,2F297978326FFLB1E5P1214L0M1,660,521,
1995,"Columbia Hills, Home Plate Area",Troy,Polyphemus_Eye2,Soil,137,249,-17.111,2.703,-0.59,0.09396,0.001,-0.995575,2F297978326FFLB1E5P1214L0M1,660,521,
1997,"Columbia Hills, Home Plate Area",Troy,Olive_Leaf,Soil,137,249,-17.202,2.16,-0.498,-0.25409,-0.163058,-0.953337,2F297978326FFLB1E5P1214L0M1,415,478,
2024,"Columbia Hills, Home Plate Area",Troy,Underbelly_Recon_Point1,Soil,137,249,-17.383,2.584,-0.627,0.15102,-0.136018,-0.979128,2F297978326FFLB1E5P1214L0M1,616,589,
2024,"Columbia Hills, Home Plate Area",Troy,Underbelly_Recon_Point2,Soil,137,249,-17.353,2.655,-0.639,0.15102,-0.136018,-0.979128,2F297978326FFLB1E5P1214L0M1,665,588,
2024,"Columbia Hills, Home Plate Area",Troy,Penina4,Soil,137,249,-17.19,2.038,-0.472,0.303034,-0.313035,-0.9001,2F297978326FFLB1E5P1214L0M1,371,464,
2044,"Columbia Hills, Home Plate Area",Troy,Stratius,Soil,137,249,-17.203,2.422,-0.57,0.36992,-0.192959,-0.908805,2F297978326FFLB1E5P1214L0M1,531,502,
2052,"Columbia Hills, Home Plate Area",Troy,Thoosa,Soil,137,249,-17.254,2.597,-0.591,0.081024,-0.029008,-0.99629,2F297978326FFLB1E5P1214L0M1,614,546,
