SOL,TARGET_CCA,TARGET,TARGET_MSL,EASTING_M,NORTHING_M,ELEV_M,LATITUDE,LONGITUDE
1276,Duruchaus,Duruchaus,Duruchaus,8142116.649,-277325.6173,-4426.65591,-4.678650907,137.3624327
1276,Eiseb,Eiseb,Eiseb,8142117.149,-277325.6493,-4426.66982,-4.678651446,137.3624411
1277,Maieberg,Maieberg,Maieberg,8142111.223,-277322.3712,-4426.670997,-4.678596143,137.3623411
1277,Mikberg,Mikberg,Mikberg,8142111.141,-277322.5979,-4426.643773,-4.678599967,137.3623398
1277,Verbrandeberg,Verbrandeberg,Verbrandeberg,8142111.296,-277322.2144,-4426.68226,-4.678593497,137.3623424
1277,Vogelfederberg,Vogelfederberg,Vogelfederberg,8142112.045,-277321.7939,-4426.664839,-4.678586403,137.362355
1278,Kunene,Kunene,Kunene,8142110.497,-277319.8283,-4426.728911,-4.678553243,137.3623289
1278,Lofdal,Lofdal,Lofdal,8142110.403,-277319.5075,-4426.73999,-4.67854783,137.3623273
1278,Nababis,Nababis,Nababis,8142111.149,-277321.2965,-4426.606793,-4.678578012,137.3623399
1278,Tsarabis,Tsarabis,Tsarabis,8142113.464,-277322.4466,-4426.607955,-4.678597415,137.362379
1280,Marienfluss,Marienfluss,Marienfluss,8142112.301,-277320.0976,-4426.610332,-4.678557785,137.3623593
1282,Orupembe,Orupembe,Orupembe,8142101.331,-277311.0343,-4426.23571,-4.678404882,137.3621743
1282,Witvlei,Witvlei,Witvlei,8142100.96,-277311.4795,-4426.18184,-4.678412393,137.362168
1283,Naauwpoort,Naauwpoort,Naauwpoort,8142081.695,-277314.1245,-4426.32748,-4.678457015,137.361843
1284,Grasplatz,Grasplatz,Grasplatz,8142041.174,-277317.6374,-4426.89235,-4.67851628,137.3611594
1284,Grootberg,Grootberg,Grootberg,8142042.29,-277320.3942,-4426.80036,-4.67856279,137.3611782
1284,Rooirand,Rooirand,Rooirand,8142044.105,-277318.1292,-4427.303957,-4.678524578,137.3612088
1285,Koigab,Koigab,Koigab,8142020.887,-277322.6304,-4426.96729,-4.678600516,137.3608171
1285,Mulden,Mulden,Mulden,8142020.164,-277323.8195,-4426.97164,-4.678620576,137.3608049
1286,Omaheke,Omaheke,Omaheke,8142018.672,-277327.3786,-4427.02571,-4.67868062,137.3607798
1286,Sesriem_Canyon_ccam,Sesriem_Canyon_ccam,Sesriem_Canyon_ccam,8142021.418,-277326.3169,-4426.99413,-4.678662709,137.3608261
1286,Varianto,Varianto,Varianto,8142020.391,-277322.6553,-4426.93798,-4.678600935,137.3608088
1289,Koigab_1289,Koigab_1289,Koigab_1289,8142020.86,-277322.6512,-4426.96804,-4.678600866,137.3608167
1290,Khaudam,Khaudam,Khaudam,8142012.682,-277314.0313,-4426.43158,-4.678455443,137.3606787
1292,Bwabwata,Bwabwata,Bwabwata,8141998.087,-277304.503,-4426.51955,-4.678294695,137.3604325
1292,Tsintsabis,Tsintsabis,Tsintsabis,8141995.77,-277305.0139,-4426.39135,-4.678303314,137.3603934
1293,Gobabis_ccam,Gobabis_ccam,Gobabis_ccam,8141989.495,-277299.0124,-4427.01106,-4.678202066,137.3602875
1293,Zerrissene,Zerrissene,Zerrissene,8141989.275,-277299.5529,-4426.95021,-4.678211184,137.3602838
1296,Blaubeker,Blaubeker,Blaubeker,8141975.343,-277298.0076,-4427.68645,-4.678185115,137.3600488
1296,Blaubock,Blaubock,Blaubock,8141972.558,-277304.0099,-4427.71781,-4.678286377,137.3600018
1296,Bloedkoppie,Bloedkoppie,Bloedkoppie,8141976.667,-277298.4459,-4427.79677,-4.678192508,137.3600711
1297,LD_Sol1296_PV_Az318.5,LD_Sol1296_PV_Az318.5,LD_Sol1296_PV_Az318.5,8141965.456,-277288.5735,-4425.80995,-4.678025955,137.359882
1298,Blaubock_2_Exterior,Blaubock_2_Exterior,Blaubock_2_Exterior,8141971.001,-277302.0626,-4428.14298,-4.678253525,137.3599755
1298,Blaubock_2_Interior,Blaubock_2_Interior,Blaubock_2_Interior,8141971.324,-277301.8531,-4428.039647,-4.67824999,137.359981
1298,Chapeu_Armado,Chapeu_Armado,Chapeu_Armado,8141971.169,-277296.5938,-4428.102052,-4.678161263,137.3599784
