anPlaceId,frame,i,id,imageId,normalEstimated,j,locationEstimated,name,notes,owner,priority,rmc,site,pos,rsvpId,sol,u,v,w,writeProtected,x,y,z,version,anProcStatus,hasProductMatches,areProductMatchesUpToDate,anLocatorImageId
101085,LOCAL_LEVEL,707.281189,44f86891-e368-442f-b5fc-9669d4204d19,NLA_402736743RAS_F0050104NCAM00449M_,1,814.0606689,1,Crestaurum2_CCAM_pointing,,hnewsom,,"5, 104",5,104,,83,-0.010950137,0.060492254,-0.998108584,0,1.943108658,-2.419955334,-0.367737139,0,1,1,1,NULL
101086,LOCAL_LEVEL,NULL,066f66f8-0001-4e20-9f5f-bdd11fdf1db6,NULL,1,NULL,1,Et_Then_APXS_3.5cm,,jyen,,"5, 0",5,0,RSVPID_mslsmsarp2.jpl.nasa.gov_24892_2012.11.01.16.41.12_2,85,-0.248271,0.285715,-0.925596,0,-0.161325,-1.969718,-0.242676,0,1,0,1,NULL
101087,LOCAL_LEVEL,317.7844774,e01d6ad5-2a0c-4d2a-a481-1b5272151344,NLA_404949966RAS_F0050104NCAM00208M_,1,460.7119746,1,Rocknest_3_Rall_pointing,,ledgar,,"5, 104",5,104,,86,0,0,-1,0,-0.698623593,-3.999459126,-0.015598406,0,1,1,1,NULL
101088,LOCAL_LEVEL,NULL,449259f0-e5d7-49bc-a577-5d7f088ac58a,NULL,1,NULL,1,Et_Then_APXS_surface,,frank,,"5, 0",5,0,RSVPID_mslsmsarp2.jpl.nasa.gov_24892_2012.11.01.17.16.46_4,86,-0.247904,0.285889,-0.925641,0,-0.155,-1.979,-0.212,0,1,0,1,NULL
101089,LOCAL_LEVEL,NULL,5db6e729-9fb3-4514-a312-2e07ee473a7e,NULL,1,NULL,1,bite2_dump_site_new,,verma,,"5, 0",5,0,RSVPID_mslsmsarp1.jpl.nasa.gov_24987_2012.10.14.10.30.34_2,88,-0.15302,0.282036,-0.947122,0,1.35,-1.592,-0.167,0,1,0,1,NULL
101090,LOCAL_LEVEL,NULL,ee5b57ef-1ec9-4339-841e-5ab6c52cb7fc,NULL,1,NULL,1,bite4,,verma,,"5, 0",5,0,RSVPID_mslsmsarp4.jpl.nasa.gov_1199_2012.10.14.06.40.19_1,88,-0.136971,0.28794,-0.947802,1,1.478,-1.824,-0.241,0,1,0,1,NULL
101091,LOCAL_LEVEL,NULL,870bd962-7daa-4c12-8627-362e3a29b1e0,NULL,1,NULL,1,bite5,,verma,,"5, 0",5,0,RSVPID_mslsmsarp4.jpl.nasa.gov_1199_2012.10.14.06.40.24_2,88,-0.136977,0.312947,-0.939841,1,1.721,-1.708,-0.244,0,1,0,1,NULL
101092,LOCAL_LEVEL,317.6700463,8f3fbe20-104e-4a03-87f0-ca7c2da5da36,NLA_404949966RAS_F0050104NCAM00208M_,1,400.3664658,1,Peg2_Ccam_pointing,,nmangold,,"5, 104",5,104,,100,0.233478433,0.225126697,-0.945941746,0,-0.641917726,-3.794496762,-0.336799063,0,1,1,1,NULL
101093,LOCAL_LEVEL,142.2174988,bfd5d27d-bd5d-4444-9137-b7aa896e7eea,NLB_450494605RAS_F0310718NCAM00267M_,1,455.565033,1,N59808,,mrice,,"31, 718",31,718,,598,0.324945454,0.701364944,-0.634427069,0,-3.13035138,-5.340380536,-0.573138377,0,1,1,1,NULL
101094,LOCAL_LEVEL,483.662384,b9d702f9-5a55-4233-a363-625e206b8bc8,FLB_450495010RASLF0310724FHAZ00302M_,1,472.6411438,1,Liga,Potentail APXS target; moved block with potentially less dust  Formerley: F59809,csedward,,"31, 724",31,724,,598,0.073683561,-0.041773917,-0.996406394,1,-0.533538295,-1.93325079,-0.056371824,0,1,1,1,NULL
101095,LOCAL_LEVEL,583.6484985,317228a0-d515-40e0-9c94-b24270d5fcb3,NLB_450494605RAS_F0310718NCAM00267M_,1,462.3868408,1,Hibberson,Possible MCAM R0 or multispectral target with interesting textures,chardgro,,"31, 718",31,718,,598,0.330447295,0.053252881,-0.94232093,1,-1.49124076,-6.640649265,-0.327945514,0,1,1,1,NULL
101096,LOCAL_LEVEL,299.7982178,cf5a4def-cb8f-4c4d-9e27-c22f53cf068a,FLB_450495010RASLF0310724FHAZ00302M_,1,353.5775146,1,F59811,CCAM target at base of outcrop.,mfisk,,"31, 724",31,724,,598,0.171421718,0.174243333,-0.969666879,0,-2.590672942,-3.544501772,-0.154656361,0,1,1,1,NULL
101097,LOCAL_LEVEL,260.3161375,8c5bf6bc-b9d0-4a75-b42c-8e98d27e6463,NLB_450494742RAS_F0310718NCAM00353M_,1,245.3501496,1,N59812,Potential APXS Malhi Target,csedward,,"31, 718",31,718,,598,0.052009111,-0.056345371,-0.997055764,0,-0.521919446,-2.976911597,-0.034093868,0,1,1,1,NULL
101098,LOCAL_LEVEL,494.2975696,237a3469-843d-4dbe-8ef5-e289d9beead3,FRB_450495010RASLF0310724FHAZ00302M_,1,491.828499,1,F59813,Potential APXS Target,csedward,,"31, 724",31,724,,598,0,0,-1,0,-0.315879444,-1.903034662,0.007030789,0,1,1,1,NULL
101099,LOCAL_LEVEL,280.6192932,66e8ce0c-5021-4195-a790-e6f41fc58daa,NLB_450494742RAS_F0310718NCAM00353M_,1,259.0609741,1,N59814,Edge on Target 1,csedward,,"31, 718",31,718,,598,0.339702799,0.050015707,-0.939201999,0,-0.473000709,-2.945998347,-0.0258662,0,1,1,1,NULL
101100,LOCAL_LEVEL,410.3022022,0831a240-be7d-4b7e-a0d5-1c802146596e,FLB_450495010RASLF0310724FHAZ00302M_,1,411.7974375,1,Glidden,Possible target for MAHLI edge view of outcrop.  formerly F59801,jfrydenv,,"31, 724",31,724,,598,0.253403731,0.178337611,-0.95077982,1,-1.122289596,-2.554501193,-0.050191163,0,1,1,1,NULL
101101,LOCAL_LEVEL,494.0509839,7e13e91a-0610-41df-96ab-261f167247b0,FRB_450495010RASLF0310724FHAZ00302M_,1,559.0507416,1,Speewah,Formerley: F59802,csedward,,"31, 724",31,724,,598,0,0,-1,0,-0.258033021,-1.54593468,0.00571747,0,1,1,1,NULL
101102,LOCAL_LEVEL,512.2816162,31a54583-cf98-4a2f-9f64-4dda6aee6008,NLB_450494605RAS_F0310718NCAM00267M_,1,562.6677246,1,N59821,,mrice,,"31, 718",31,718,,598,0.234902964,0.146307903,-0.96094462,0,-1.530160931,-5.679431224,-0.121010612,0,1,1,1,NULL
101103,LOCAL_LEVEL,461.8266907,125e88a9-35c7-4b5b-a238-fd202c3ceef5,FLB_450495010RASLF0310724FHAZ00302M_,1,497.5709534,1,F59803,Possible target for edge on view of outcrop.,mfisk,,"31, 724",31,724,,598,-0.031044293,0.216650169,-0.975755558,0,-0.581591098,-1.745709616,-0.066176753,0,1,1,1,NULL
101104,LOCAL_LEVEL,107.5786383,bd73ef9a-cd23-45b9-85b1-a54a91737fa9,NLB_450494605RAS_F0310718NCAM00267M_,1,875.5763168,1,N59830,Overturned rock from drive,csedward,,"31, 718",31,718,,598,0,0,-1,0,-1.845148684,-3.304267222,-1.67E-08,0,1,1,1,NULL
101105,LOCAL_LEVEL,591.7065369,997ed142-9111-4176-a10d-a348a8072e46,NLB_450495598RASLF0310724NCAM00354M_,1,225.0236439,1,N59822,Honeycomb texture.  Mastcam target.,mfisk,,"31, 724",31,724,,598,0.066340703,-0.050889675,-0.996498423,0,2.534984867,-2.636681318,0.04680149,0,1,1,1,NULL
101106,LOCAL_LEVEL,354.0163269,cab4ebdc-4595-4493-9cd1-d285de57f7db,NLB_450495598RAS_F0310724NCAM00354M_,1,513.1334229,1,Forman,"Candidate M100 grain size check of possible megaripple.   M100 resolution should be around 200 um/pixel at this range,  so should capture 1-2 mm grains if they are present, or much  larger grains as seen in Csol 356 ripple crossing.",chardgro,,"31, 724",31,724,,598,-0.142189571,0.068195033,-0.987487516,1,1.481657933,-2.446640149,0.072181857,0,1,1,1,NULL
101107,LOCAL_LEVEL,78.26584716,9bc4df6e-a62a-45ea-bf29-fc74418e8273,NLB_450494605RAS_F0310718NCAM00267M_,1,388.4384169,1,New Target,,mrice,,"31, 718",31,718,,598,0,0,-1,0,-6.4453698,-8.98888732,-2.61E-08,0,1,NULL,0,NULL
101108,LOCAL_LEVEL,610.748291,e06fe569-5738-48f7-b9cd-bad70bd031c4,NLB_450494580RAS_F0310718NCAM00267M_,1,368.2375488,1,N59824,Layered outcrop.,mfisk,,"31, 718",31,718,,598,0.393584139,0.663466235,-0.636320719,0,-4.435666611,-5.417768646,-0.689435767,0,1,1,1,NULL
101109,LOCAL_LEVEL,691.4838257,50f0c475-f5b4-44ee-967f-16dd97f76bed,NLB_450494580RAS_F0310718NCAM00267M_,1,177.9063721,1,N59825,,mfisk,,"31, 718",31,718,,598,0.743957991,0.60175469,-0.290547377,0,-11.67861695,-14.14850065,-1.279090215,0,1,1,1,NULL
101110,LOCAL_LEVEL,437.3596497,75177aa2-29db-4d0f-8497-467212cf9c98,NLB_450494580RAS_F0310718NCAM00267M_,1,172.4016571,1,N59826,Approachable drill location. This is halfway between locations B and C of Melissa's  map of areas of the base of Mt. Remarkable.,mfisk,,"31, 718",31,718,,598,0.74589858,0.599365373,-0.290510599,0,-16.3292459,-13.22170351,-1.365890837,0,1,1,1,NULL
101111,LOCAL_LEVEL,702.9534912,e50b0f24-43f3-493e-b66a-86ca382d34f2,NLB_442241613RASLF0250154NCAM00275M_,1,596.8372192,1,New Target,,estlin,,"25, 154",25,154,,598,0.261089083,-0.151312725,-0.953381842,0,-1.590451964,-6.889217945,0.476259733,0,1,NULL,0,NULL
101112,LOCAL_LEVEL,432.0697632,cc92d1f4-d3d1-44aa-aba6-1d9e236fd05c,NLA_407536781RASLF0050432NCAM07753M_,1,550.6976929,1,New Target,,estlin,,"5, 432",5,432,,598,0.316317087,-0.351390823,-0.881174248,0,-6.311043969,3.191174203,0.141317935,0,1,NULL,0,NULL
101113,LOCAL_LEVEL,320.3736074,1ef15ccf-406f-42b1-acbf-410c29a280f4,NLB_467626884RAS_F0440256NCAM00350M_,1,114.5714344,1,Aztec ,Formerly N79212,pvmeslin,,"44, 256",44,256,,792,0.944943219,-0.187235772,-0.268374897,1,-3.934463783,-0.262394448,-0.960512925,0,1,1,1,NULL
101114,LOCAL_LEVEL,486.3500977,c82833b2-a61c-4d77-be8c-c095cf9c154f,NLB_467626884RAS_F0440256NCAM00350M_,1,63.17789841,1,N79213,,stack,,"44, 256",44,256,,792,0.52761117,-0.456096578,-0.716660541,0,-3.995313761,-0.739562274,-1.010294455,0,1,1,1,NULL
101115,LOCAL_LEVEL,725.9515854,bc84ae10-2a3f-4355-b2aa-beeb71702b73,NLB_470023727RASLF0441828NCAM00353M_,1,583.0964613,1,Agate_Hill,Formerly N79214,jbeek,,"44, 1828",44,1828,,820,0.250851754,-0.052072737,-0.966623959,1,-1.990922414,-0.149585906,-0.515613113,0,1,1,1,NULL
